X,Y,fid,navn,eier_tilrettelegging,Opening season,Cost,icon_url
13.6184976444545,68.1453383151124,,ESSO Leknes,ESSO,All year,,./0.png
13.8872938738087,68.204193395505,,Brustranda camping,Brustranda camping,?,,./0.png
14.2177293099291,68.2258478546175,,Lyngvær Lofoten bobilcamping,Lyngvær Lofoten bobilcamping,Easter to autumn,,./0.png
13.095989241714,67.9349535622408,"4",Reine ytre havn,Moskenes kommune,All year,,./0.png
0,0,"5",Akkarvikodden,Statens vegvesen,May 15 - oct 1,,./0.png
14.426143476396,68.2063823763289,,Lofoten turist- og rorbusenter,Lofoten turist- og rorbusenter,Closed during winter,,./0.png
14.4447644765705,68.2169933772477,,Kabrlvåg feriehus og camping,Kabrlvåg feriehus og camping,All year,,./0.png
14.5595580046578,68.2274040155499,,Svolvær bobilpark,Svolvær bobilpark,?,,./0.png
0,0,"10",Brunstranda,Statens vegvesen,May 15 - oct 1,,./0.png
14.7152224726484,68.3158994591818,,Austnesfjorden,Statens vegvesen,All year,,./0.png
14.4982920820776,68.3360557015107,,Sandsletta camping,Sandsleta camping,Closed wintertime,,./0.png
13.5055826407691,68.2093796810611,"13",Uttakleiv,Uttakleiv grendelag,May 1 - oct 15,,./0.png
13.6999113294564,68.15724005697,"15",Hagskaret,Statens vegvesen,May 15 - oct 1,,./0.png
0,0,"17",Eggum,Statens vegvesen,?,,./0.png
13.8265254804294,68.263157641988,"18",Torvdalshalsen,Statens vegvesen,All year,,./0.png
0,0,"23",Kalle,Vågan kommune ,All year,,./0.png
0,0,"24",Svolvær fergekai,Statens vegvesen,All year,,./0.png
0,0,"25",Stranda under fjellet,Vågan kommune,?,,./0.png
0,0,"26",Børvågan,Vågan kommune,All year,,./0.png
0,0,"27",Vaterfjorden,Statens vegvesen,May 15 - oct 1,,./0.png
0,0,"28",Austnesfjorden,Statens vegvesen,All year,,./0.png
0,0,"29",Fiskebøl fergekai,Statens vegvesen,All year,,./0.png
0,0,"30",Hattneset rasteplass,Statens vegvesen,May 15 - oct 1,,./0.png
0,0,"31",Skrova samfunnshus,Vågan kommune,Jun - aug,,./0.png
