X,Y,fid,id,navn,status,maalpunkttype,funksjon,tilrettelegging,beskrivelse,eier_tilrettelegging,grunneieravtale,tilgjengelighet,trafikkbelastning,maaloppnaaelse,lenker,nye_tiltak,kostnad_nye_tiltak,finansiering_nye_tiltak,organisering_nye_tiltak,prioritering,opphav,registreringsmetode,registrert_av,datafangstdato,endret_av,oppdateringsdato,Opening season,Cost,icon_url
12.9790322818319,67.8804559053611,"2",,Å,Eksisterende,,,,Toalett,Statens vegvesen,,,,,,,,,,,,,,,,,All year,Free,./0.png
13.0444303327063,67.8995877306924,"3",,Moskenes fergekai,Eksisterende,,,,Toalett,Statens vegvesen,,,,,,,,,,,,,,,,,All year,Free,./0.png
13.0102246781113,67.8908588299725,"4",,SOIL-huset,Eksisterende,,,,Toalett,Moskenes kommune,,,,,,,,,,,,,,,,,All year,10 kr,./0.png
13.0878123817895,67.9343900465941,"5",,Reine inner havn,Eksisterende,,,,Toalett,Moskenes kommune,,,,,,,,,,,,,,,,,April-september,?,./0.png
13.0990953975659,67.9354503456598,"6",,Reine ytre havn,Eksisterende,,,,Toalett,Moskenes kommune,,,,,,,,,,,,,,,,,April-september,?,./0.png
13.1515986438554,67.9619275824553,"7",,Akkarvikodden,Eksisterende,,,,Toalett,Statens vegvesen,,,,,,,,,,,,,,,,,May 15 - Oct 1,Free,./0.png
13.173227067216,68.0869782175376,"8",,Draugenplassen,Eksisterende,,,,Toalett,Flakstad kommune,,,,,,,,,,,,,,,,,?,Free,./0.png
13.1388020937432,68.0887915951357,"9",,Innersand,Eksisterende,,,,Toalett,Leif N. Solhaug,,,,,,,,,,,,,,,,,?,?,./0.png
13.2843252626564,68.1036989375691,"10",,Brunstranda,Eksisterende,,,,Toalett,Statens vegvesen,,,,,,,,,,,,,,,,,May 15 - oct 1,Free,./0.png
13.2282040810502,68.0894313023662,"11",,Ramberg senter,Eksisterende,,,,Toalett,Privat,,,,,,,,,,,,,,,,,All year,20 kr,./0.png
13.5383853833861,68.0711500065689,"12",,Ballstad havn,Eksisterende,,,,Toalett,Vestvågøy kommune,,,,,,,,,,,,,,,,,All year,?,./0.png
13.559761465893,68.1145701487744,"13",,Klokkarvika,Eksisterende,,,,Toalett,Vestvågøy kommune,,,,,,,,,,,,,,,,,All year,10 kr,./0.png
13.5075194075163,68.1496747872177,"14",,Skreda,Eksisterende,,,,Toalett,Statens vegvesen,,,,,,,,,,,,,,,,,All year,Free,./0.png
13.6180355656722,68.1454588045963,"15",,Esso Leknes,Eksisterende,,,,Toalett,Esso,,,,,,,,,,,,,,,,,All year. Follow the opening hours,?,./0.png
13.6154841682833,68.1488074653033,"16",,Meieriet kultursenter,Eksisterende,,,,Toalett,Vestvåøy kommune,,,,,,,,,,,,,,,,,All year. Follows the opening hours,?,./0.png
13.6176125157508,68.1488087191125,"17",,Lofotsenteret,Eksisterende,,,,Toalett,Lofotsenteret,,,,,,,,,,,,,,,,,All year. Follows the opening hours,Free,./0.png
